Rule Code,Rule Name,Category,Severity,Description,Example,Definition JSON
FG_VELOCITY_01,Velocity breach (ACCOUNT 3 in 15m),VELOCITY,HIGH,"Triggers when account exceeds 3 transactions within 15 minutes and total amount ≥ ₹10,000.","4 transfers on same account in 15 minutes totaling ₹15,000.","{""category"":""VELOCITY"",""scope"":""ACCOUNT"",""window_minutes"":15,""txn_count_gt"":3,""total_amount_gte"":10000}"
FG_VELOCITY_02,Velocity breach (DEVICE 5 in 30m),VELOCITY,HIGH,"Triggers when device exceeds 5 transactions within 30 minutes and total amount ≥ ₹20,000.","6 transfers on same device in 30 minutes totaling ₹25,000.","{""category"":""VELOCITY"",""scope"":""DEVICE"",""window_minutes"":30,""txn_count_gt"":5,""total_amount_gte"":20000}"
FG_VELOCITY_03,Velocity breach (IP 7 in 60m),VELOCITY,HIGH,"Triggers when ip exceeds 7 transactions within 60 minutes and total amount ≥ ₹30,000.","8 transfers on same ip in 60 minutes totaling ₹35,000.","{""category"":""VELOCITY"",""scope"":""IP"",""window_minutes"":60,""txn_count_gt"":7,""total_amount_gte"":30000}"
FG_VELOCITY_04,Velocity breach (MERCHANT 10 in 120m),VELOCITY,HIGH,"Triggers when merchant exceeds 10 transactions within 120 minutes and total amount ≥ ₹50,000.","11 transfers on same merchant in 120 minutes totaling ₹55,000.","{""category"":""VELOCITY"",""scope"":""MERCHANT"",""window_minutes"":120,""txn_count_gt"":10,""total_amount_gte"":50000}"
FG_VELOCITY_05,Velocity breach (CUSTOMER 20 in 1440m),VELOCITY,HIGH,"Triggers when customer exceeds 20 transactions within 1440 minutes and total amount ≥ ₹100,000.","21 transfers on same customer in 1440 minutes totaling ₹105,000.","{""category"":""VELOCITY"",""scope"":""CUSTOMER"",""window_minutes"":1440,""txn_count_gt"":20,""total_amount_gte"":100000}"
FG_VELOCITY_06,Velocity breach (CARD 40 in 4320m),VELOCITY,HIGH,"Triggers when card exceeds 40 transactions within 4320 minutes and total amount ≥ ₹150,000.","41 transfers on same card in 4320 minutes totaling ₹155,000.","{""category"":""VELOCITY"",""scope"":""CARD"",""window_minutes"":4320,""txn_count_gt"":40,""total_amount_gte"":150000}"
FG_TIME_01,Time-of-day anomaly 0-4h,TIME_OF_DAY,MEDIUM,"Flags transactions between 0:00–4:00 on any with amount ≥ ₹20,000.","Txn at 00:30 on a any for ₹20,000.","{""category"":""TIME_OF_DAY"",""hour_from"":0,""hour_to"":4,""days"":""ANY"",""amount_gte"":20000}"
FG_TIME_02,Time-of-day anomaly 1-5h,TIME_OF_DAY,MEDIUM,"Flags transactions between 1:00–5:00 on weekend with amount ≥ ₹25,000.","Txn at 01:30 on a weekend for ₹25,000.","{""category"":""TIME_OF_DAY"",""hour_from"":1,""hour_to"":5,""days"":""WEEKEND"",""amount_gte"":25000}"
FG_TIME_03,Time-of-day anomaly 22-23h,TIME_OF_DAY,MEDIUM,"Flags transactions between 22:00–23:00 on weekday with amount ≥ ₹30,000.","Txn at 22:30 on a weekday for ₹30,000.","{""category"":""TIME_OF_DAY"",""hour_from"":22,""hour_to"":23,""days"":""WEEKDAY"",""amount_gte"":30000}"
FG_TIME_04,Time-of-day anomaly 0-6h,TIME_OF_DAY,MEDIUM,"Flags transactions between 0:00–6:00 on any with amount ≥ ₹15,000.","Txn at 00:30 on a any for ₹15,000.","{""category"":""TIME_OF_DAY"",""hour_from"":0,""hour_to"":6,""days"":""ANY"",""amount_gte"":15000}"
FG_TIME_05,Time-of-day anomaly 23-2h,TIME_OF_DAY,MEDIUM,"Flags transactions between 23:00–2:00 on any with amount ≥ ₹18,000.","Txn at 23:30 on a any for ₹18,000.","{""category"":""TIME_OF_DAY"",""hour_from"":23,""hour_to"":2,""days"":""ANY"",""amount_gte"":18000}"
FG_TIME_06,Time-of-day anomaly 12-14h,TIME_OF_DAY,MEDIUM,"Flags transactions between 12:00–14:00 on weekday with amount ≥ ₹500,000.","Txn at 12:30 on a weekday for ₹500,000.","{""category"":""TIME_OF_DAY"",""hour_from"":12,""hour_to"":14,""days"":""WEEKDAY"",""amount_gte"":500000}"
FG_CARD_01,CARD anomaly - CNP,CHANNEL,MEDIUM,"Channel-specific pattern for CARD / CNP; amount ≥ ₹10,000 (card-not-present).","CARD CNP txn of ₹12,000.","{""category"":""CHANNEL"",""channel"":""CARD"",""subtype"":""CNP"",""amount_gte"":10000,""present"":false}"
FG_CARD_02,CARD anomaly - CONTACTLESS,CHANNEL,MEDIUM,"Channel-specific pattern for CARD / CONTACTLESS; amount ≥ ₹20,000 (card-present).","CARD CONTACTLESS txn of ₹20,000.","{""category"":""CHANNEL"",""channel"":""CARD"",""subtype"":""CONTACTLESS"",""amount_gte"":20000,""present"":true}"
FG_CARD_03,CARD anomaly - MOTO,CHANNEL,MEDIUM,"Channel-specific pattern for CARD / MOTO; amount ≥ ₹30,000 (card-not-present).","CARD MOTO txn of ₹30,000.","{""category"":""CHANNEL"",""channel"":""CARD"",""subtype"":""MOTO"",""amount_gte"":30000,""present"":false}"
FG_CARD_04,CARD anomaly - INTERNATIONAL,CHANNEL,MEDIUM,"Channel-specific pattern for CARD / INTERNATIONAL; amount ≥ ₹40,000 (card-present).","CARD INTERNATIONAL txn of ₹40,000.","{""category"":""CHANNEL"",""channel"":""CARD"",""subtype"":""INTERNATIONAL"",""amount_gte"":40000,""present"":true}"
FG_CARD_05,CARD anomaly - ECOM,CHANNEL,MEDIUM,"Channel-specific pattern for CARD / ECOM; amount ≥ ₹50,000 (card-not-present).","CARD ECOM txn of ₹50,000.","{""category"":""CHANNEL"",""channel"":""CARD"",""subtype"":""ECOM"",""amount_gte"":50000,""present"":false}"
FG_CARD_06,CARD anomaly - CARD_PRESENT,CHANNEL,MEDIUM,"Channel-specific pattern for CARD / CARD_PRESENT; amount ≥ ₹60,000 (card-present).","CARD CARD_PRESENT txn of ₹60,000.","{""category"":""CHANNEL"",""channel"":""CARD"",""subtype"":""CARD_PRESENT"",""amount_gte"":60000,""present"":true}"
FG_UPI_01,UPI anomaly - P2P,CHANNEL,MEDIUM,"Channel-specific pattern for UPI / P2P; amount ≥ ₹10,000 (standard).","UPI P2P txn of ₹12,000.","{""category"":""CHANNEL"",""channel"":""UPI"",""subtype"":""P2P"",""amount_gte"":10000,""present"":true}"
